lambda_gram,embedding
deberías,0011100100011
lán,0101011100011
gatito,0110101100000
juzgado,0111000000111
cuidado,0011101001110
chirriar,0001000000011
transformado,1111011000110
gravemente,0111100000110
recomendar,1100101010101
concejo,0011011110101
entr,0010000011011
resultado,1101100010000
apo,0000111000110
músico,0100100011110
botín,0001110111111
lisa,0101001010011
gota,0110100011001
consegu,0011010111000
posar,1100001010001
excelente,0110010101011
cañón,0001000100011
panadero,0100010001011
antepasado,0000111111111
temprano,1101000000100
reparte,1100100011000
elefant,0010011110100
invención,0111001010111
bondad,0001110100101
escrito,0110001100101
temía,1101000000111
afirmar,0000011010000
largo,0101000110000
lograr,0101011110110
delicioso,0010100000010
cervatillo,0001000010100
cinta,0011000011100
hervir,0111111010101
tocador,1111000100101
miniatura,0101101011111
siesta,1101010000010
animalito,0000111101001
zepo,1111101010110
campar,0001011110100
joroba,0111000111110
crema,0011111111001
apenado,0000111011011
guitarrir,0111100100111
pececillo,0100011010100
apuro,0000101010111
escenario,0110000101000
descocado,0010101100000
cruzó,0011111011100
rattison,1100111011001
refutar,1100101100000
aburrir,0000000100110
perseveranciar,0100001100010
copete,0011110110000
camo,0001011111101
lobos,0101011010011
raro,1100111110010
regresado,1100100111000
cambiado,0001011100110
ogro,0100111011111
normalito,0100101110100
adivináis,0000011000010
esfuerzo,0110001110110
policía,1100000100011
lágrima,0101011100110
conseguido,0011010111001
siringuir,1101010110011
cabecito,0001010011100
juguete,0111000011011
nevado,0100100100100
gigantesco,0110100111101
criticón,0011111010000
encajar,0010001001111
atorar,0001100010110
rasgar,1100111110001
dedicársela,0011100110000
dejándome,0011100001001
descubrimiento,0010101101011
mandar,0101010000000
musitar,0100100000000
pompa,1100001101111
adelgazado,0000001000001
asombroso,0000100011010
mida,0101101000010
impresionant,0111010110100
puntir,1100110001100
fortalezo,0110111011110
déjame,0010010100000
encanto,0010001011000
maldición,0101010011110
frutal,0110101001110
ricito,1101100100011
hueca,0111110111010
decidir,0011100111000
deliciós,0010100000110
madriguero,0101010111010
visiblemente,1111111110001
calmar,0001010100010
asombro,0000100011110
ejército,0010011111110
boca,0001111101101
ten,1101000000010
cajo,0001010111110
taller,1101000100001
propósito,1100010111111
soplar,1101011111110
acertar,0000001110101
junco,0111000001001
valiente,1111010011111
prometeo,1100010101100
mirad,0101101010001
sentar,1101110010110
esconditir,0110000100001
desconfiado,0010101100010
extrañeza,0110010001100
bloque,0001111101110
obligatorio,0100101001110
s,1101111000001
cucaracha,0011111000100
inmensidad,0111011010100
goloso,0110100010110
tiró,1111000101000
espectáculo,0110001011000
aplaudir,0000111001111
decir,0011100111011
etiqueta,0110011100110
entiend,0010000011101
pérdido,1100110011100
delincuente,0010100000111
colín,0011001110011
cartel,0001001010010
empujar,0010001000111
lágrimas,0101011100010
excentricidad,0110010101001
simpatía,1101010011101
victoria,1111111100101
cruzar,0011111010100
casado,0001001110000
veredicto,1111110111000
sobrar,1101010111010
titar,1111000101010
bonito,0001110101100
enviara,0110000001110
ranita,1100111110100
jaula,0111000100100
tiro,1111000111001
proezas,1100011100111
cartón,0001001010011
grrrrr,0111100011001
ofendido,0100111011000
mantequilla,0101110001001
suceder,1101011011001
indeseable,0111011100011
madriguera,0101010111011
genuín,0110100101000
desván,0010111001010
pinchar,0100000011011
dibujado,0010111111101
creido,0011111111000
cima,0011000011010
cueva,0011101001100
oro,0100110111000
estatura,0110011010010
viejecito,1111111101110
mentirar,0101111011101
compartirer,0011011000000
medalla,0101111101101
vaya,1111010000011
tras,1111011001111
dificilísimo,0010111100101
cráter,0011111011101
girar,0110100110100
egoísta,0010011111000
pertenecer,0100000100001
guiso,0111100100100
sentía,1101110011100
pretenda,1100011010111
tono,1111001101101
mercancía,0101111011000
breve,0001110110101
lana,0101000011111
quehacere,1100110111111
puntudo,1100110001011
lar,0101000010010
calvo,0001010100000
aguante,0000010100000
desees,0010101111110
vuelta,1111101000011
india,0111011100010
gigante,0110100111110
excepcional,0110010101000
cualidad,0011111011011
cumplir,0011101011100
introduciéndolo,0111001011010
colorín,0011001110111
carta,0001001010110
cuenta,0011111000001
encargarte,0010001011010
cocinera,0011000101011
estrecho,0110011110111
desconfianza,0010101100110
vaso,1111010000010
peinar,0100011000111
realizado,1100111000111
susto,1101001110111
pulpo,1100110000010
respuesta,1101100010111
superniño,1101001001000
grumet,0111100011101
descuido,0010101111001
ceja,0001000100111
supervisión,1101001011010
frotar,0110101000101
causar,0001001101100
pagar,0100110001011
chorro,0011000000011
asustar,0000100000100
decepción,0011100101010
muchísimos,0101100011111
aburrimiento,0000000100111
dol,0010010001010
enfrente,0010001100110
vegetal,1111110000010
feroz,0110110111001
cuchillo,0011111000010
50,0000000001010
utilizado,1111010111101
cultivado,0011101011011
deidad,0011100010101
ligero,0101001110010
acalorado,0000001100011
descanso,0010100100111
gruñeron,0111100010110
pataleó,0100011111101
profecía,1100011100010
ignoranciar,0111010000001
cuidadlo,0011101001111
capaz,0001011001101
buscatesoro,0001010001100
trabajo,1111001011000
acercar,0000001111011
tejedora,1101000110010
agranda,0000011100100
varios,1111010001100
timón,1111000110000
mayor,0101110100001
llegaría,0101001001101
mentiro,0101111011111
prometo,1100010101110
aldeano,0000010011110
hoy,0111110111011
protegido,1100010110010
biblioteco,0001111110101
mujercita,0101100001001
emocionado,0010011001000
resplandecir,1101100011100
atajo,0001100000011
enojado,0010000101000
esmero,0110001110011
social,1101010101000
sed,1101110100100
semilla,1101110110011
tapó,1101000101010
anoche,0000111111000
agarrar,0000011111110
mapa,0101110011101
barriga,0001111000011
rival,1101101101010
disgusto,0010110010111
abundantemente,0000000100100
tonto,1111001101010
estant,0110011011100
decepcionar,0011100101110
inventar,0111001010010
concejal,0011011110111
leyéndola,0101001100110
patalear,0100011111111
ríos,1101111000000
abierto,0000000110000
buscándole,0001010001111
silverio,1101010011010
cansada,0001011010110
invitación,0111001110010
hércules,0111110001101
judíos,0111000110011
arrodillar,0000100101010
campo,0001011110010
asigna,0000100010010
huy,0111110001000
marca,0101110110011
sacudir,1101111011011
fruto,0110101001010
fiera,0110110101100
guio,0111100101111
retoque,1101100110110
rincón,1101101100010
torrencial,1111001010001
coro,0011110111101
abanico,0000000010110
pagarer,0100110001010
tatuaje,1101000111110
descaro,0010100100001
nítir,0100101011010
opinión,0100111101100
silenciosamente,1101010001000
ideal,0111110000100
codo,0011000100110
letrero,0101001100000
aseguro,0000100110001
viste,1111111010100
temible,1101000011000
pronunciación,1100010101011
este,0110011010011
hora,0111110100011
apetito,0000111001001
aullido,0001100101111
cero,0001000010011
si,1101110000011
pisada,0100000000001
víctor,1111101000100
servicio,1101110001010
esmeralda,0110001110010
cebado,0001000100010
exacta,0110010100110
provocar,1100010010110
estrategia,0110011110110
prensa,1100001000011
quieto,1100110100110
rencoroso,1100100011100
encuentre,0010001111100
alegría,0000010001010
decorado,0011100110100
pena,0100001001010
acostumbrado,0000001011110
domingo,0010010011010
dicho,0010111111000
perfección,0100001111100
sincero,1101010010010
estrellado,0110011110100
destacar,0010111000001
vete,1111110100001
regresar,1100100111001
ratonero,1100111011101
