lambda_gram,embedding
espejo mágico parar frente,0110001001001010010000011101000101100110110111000010
mágico parar frente preguntar,0100100000111010001011001101101110000101100001001100
parar frente preguntar espejito,0100010110011011011100001011000010011000110001001000
frente preguntar espejito espejito,0110111000010110000100110001100010010000110001001000
preguntar espejito espejito quién,1100001001100011000100100001100010010001100111100101
espejito espejito quién hermosar,0110001001000011000100100011001111001010111111011011
espejito quién hermosar reino,0110001001000110011110010101111110110111100100111101
entonces espejo responder hermoso,0010000011010011000100100111011000101000111111011010
espejo responder hermoso todo,0110001001001110110001010001111110110101111000100000
responder hermoso todo mujer,1101100010100011111101101011110001000000101100001000
reina quedar satisfecho pues,1100100111010110011011001011011101000001100010000101
quedar satisfecho pues saber,1100110110010110111010000011000100001011101111000011
satisfecho pues saber espejo,1101110100000110001000010111011110000110110001001001
pues saber espejo siempre,1100010000101110111100001101100010010011101010000000
saber espejo siempre decir,1101111000011011000100100111010100000000011100111011
espejo siempre decir verdad,0110001001001110101000000000111001110111111110111111
embargo pasar año belleza,0010011011010010001010000100011010101100001111010101
pasar año belleza bondad,0100010100001000110101011000011110101010001110100101
año belleza bondad blancaniev,0001101010110000111101010100011101001010001111101011
belleza bondad blancaniev hacer,0001111010101000111010010100011111010110111101111110
bondad blancaniev hacer evidente,0001110100101000111110101101111011111100110010100000
todo buena cualidad superar,1111000100000000111000111000111110110111101001000100
buena cualidad superar belleza,0001110001110001111101101111010010001000001111010101
cualidad superar belleza físico,0011111011011110100100010000011110101010110101111100
superar belleza físico reina,1101001000100000111101010101101011111001100100111010
llegar fin día reina,0101001001010011011110011100100111000001100100111010
fin día reina preguntar,0110111100111001001110000011001001110101100001001100
día reina preguntar nuevo,0010011100000110010011101011000010011000100101010100
reina preguntar nuevo espejito,1100100111010110000100110001001010101000110001001000
preguntar nuevo espejito espejito,1100001001100010010101010001100010010000110001001000
nuevo espejito espejito quién,0100101010100011000100100001100010010001100111100101
espejo contestar blancaniev bondad,0110001001001001101000111100011111010110001110100101
contestar blancaniev bondad hacer,0011010001111000111110101100011101001010111101111110
blancaniev bondad hacer ser,0001111101011000111010010101111011111101101110011011
bondad hacer ser aún,0001110100101011110111111011011100110110001101010111
hacer ser aún bello,0111101111110110111001101100011010101110001111010111
érase vez molinero pobre,1111101101001111111010000001011001000111100000111010
vez molinero pobre dejar,1111110100000010110010001111000001110100011100011110
molinero pobre dejar tres,0101100100011110000011101000111000111101111011010101
pobre dejar tres hijo,1100000111010001110001111011110110101010111111111101
dejar tres hijo herencia,0011100011110111101101010101111111111010111111000100
tres hijo herencia molino,1111011010101011111111110101111110001000101100100010
hijo herencia molino asno,0111111111101011111100010001011001000100000100011100
herencia molino asno gato,0111111000100010110010001000001000111000110100100000
reparto molino hijo mayor,1100100001011010110010001001111111111010101110100001
molino hijo mayor asno,0101100100010011111111110101011101000010000100011100
hijo mayor asno segundo,0111111111101010111010000100001000111001101110101011
mayor asno segundo gato,0101110100001000010001110011011101010110110100100000
asno segundo gato joven,0000100011100110111010101101101001000000111000111101
este último lamentar suerte,0110011010011111110110011001010000110111101011000100
último lamentar suerte cuanto,1111101100110010100001101111010110001000011111001000
lamentar suerte cuanto saber,0101000011011110101100010000111110010001101111000011
suerte cuanto saber cuál,1101011000100001111100100011011110000110011101110001
cuanto saber cuál parte,0011111001000110111100001100111011100010100010101110
hermano trabajar junto hacer,0111111001001111100101100101110000010100111101111110
trabajar junto hacer fortuna,1111001011001011100000101001111011111100110111011010
junto hacer fortuna sólo,0111000001010011110111111001101110110101101001111000
hacer fortuna sólo gato,0111101111110011011101101011010011110000110100100000
gato escuchar palabra joven,0110100100000011000110111101001100000010111000111101
escuchar palabra joven amar,0110001101111010011000000101110001111010000110110001
palabra joven amar decidido,0100110000001011100011110100001101100010011100101000
joven amar decidido ayudar,0111000111101000011011000100111001010000001101111010
amar decidido ayudar él,0000110110001001110010100000011011110101111101111000
