word,binary
bellota,0001111010110
belén,0001111010010
benandonner,0001111010011
bendición,0001111010001
bendito,0001111010000
besar,0001111110000
besito,0001111110001
beso,0001111110011
bestia,0001111110010
biblioteca,0001111110110
bibliotecario,0001111110111
biblioteco,0001111110101
bichito,0001111110100
bicho,0001111111100
bieeeir,0001111111101
bien,0001111111111
bigot,0001111111110
birds,0001111111010
birria,0001111111011
bizcocho,0001111111001
blaaaacky,0001111111000
blacky,0001111101000
blanca,0001111101001
blancaniev,0001111101011
blanco,0001111101010
bloque,0001111101110
bobos,0001111101111
boca,0001111101101
bocadillo,0001111101100
bocado,0001111100100
bocanada,0001111100101
bocar,0001111100111
bocca,0001111100110
boda,0001111100010
bola,0001111100011
bolo,0001111100001
bolsa,0001111100000
bolsillo,0001110100000
bolso,0001110100001
bombaterremoto,0001110100011
bombero,0001110100010
bombón,0001110100110
bonachón,0001110100111
bondad,0001110100101
bondadosa,0001110100100
bonito,0001110101100
borda,0001110101101
bordar,0001110101111
borde,0001110101110
borracho,0001110101010
borrones,0001110101011
boscar,0001110101001
bosque,0001110101000
bostezar,0001110111000
bota,0001110111001
botas,0001110111011
bote,0001110111010
botello,0001110111110
botín,0001110111111
botón,0001110111101
brazalete,0001110111100
brazo,0001110110100
breve,0001110110101
brillante,0001110110111
brillar,0001110110110
brille,0001110110010
brillo,0001110110011
brincar,0001110110001
brinco,0001110110000
broma,0001110010000
bromeandodijo,0001110010001
bromista,0001110010011
bromo,0001110010010
bronco,0001110010110
brotado,0001110010111
brotar,0001110010101
bruja,0001110010100
brujita,0001110011100
brujito,0001110011101
brujitolandia,0001110011111
brujo,0001110011110
brusco,0001110011010
brutal,0001110011011
bruto,0001110011001
brís,0001110011000
buaaa,0001110001000
buaaaaa,0001110001001
bubuah,0001110001011
buen,0001110001010
buena,0001110001110
bueno,0001110001111
bufón,0001110001101
buitre,0001110001100
bulto,0001110000100
buque,0001110000101
burg,0001110000111
burl,0001110000110
burla,0001110000010
burlado,0001110000011
burlar,0001110000001
burlona,0001110000000
burló,0001010000000
burlón,0001010000001
burro,0001010000011
busca,0001010000010
buscado,0001010000110
buscapleito,0001010000111
buscar,0001010000101
buscarlo,0001010000100
buscatesoro,0001010001100
busco,0001010001101
buscándole,0001010001111
buscándolo,0001010001110
busquer,0001010001010
busqué,0001010001011
bárbara,0001010001001
bárbaro,0001010001000
búsqueda,0001010011000
cab,0001010011001
cabalgar,0001010011011
caballero,0001010011010
caballir,0001010011110
caballo,0001010011111
cabaña,0001010011101
cabecito,0001010011100
cabello,0001010010100
caber,0001010010101
cabeza,0001010010111
cabezar,0001010010110
cabezas,0001010010010
cabo,0001010010011
cabra,0001010010001
cabrar,0001010010000
cabrito,0001010110000
cabro,0001010110001
cacarear,0001010110011
cacareo,0001010110010
cacerola,0001010110110
cachorra,0001010110111
cachorrar,0001010110101
cada,0001010110100
cadena,0001010111100
caer,0001010111101
caja,0001010111111
cajo,0001010111110
calabaza,0001010111010
calavera,0001010111011
calderir,0001010111001
caldero,0001010111000
caldo,0001010101000
calentar,0001010101001
calidad,0001010101011
caliente,0001010101010
calientito,0001010101110
calir,0001010101111
call,0001010101101
calladito,0001010101100
callado,0001010100100
callar,0001010100101
calle,0001010100111
calma,0001010100110
calmar,0001010100010
calor,0001010100011
caluroso,0001010100001
calvo,0001010100000
calzada,0001011100000
calzado,0001011100001
calzoncillo,0001011100011
cama,0001011100010
cambiado,0001011100110
cambiar,0001011100111
cambiarlo,0001011100101
cambiaréis,0001011100100
cambiaría,0001011101100
cambio,0001011101101
cambiárselo,0001011101111
camello,0001011101110
camina,0001011101010
caminant,0001011101011
caminante,0001011101001
caminar,0001011101000
caminer,0001011111000
caminito,0001011111001
camino,0001011111011
camiseta,0001011111010
camitar,0001011111110
camión,0001011111111
camo,0001011111101
campanario,0001011111100
campar,0001011110100
campeona,0001011110101
campesino,0001011110111
campeón,0001011110110
campo,0001011110010
camín,0001011110011
canasta,0001011110001
canasto,0001011110000
canción,0001011010000
cangrejo,0001011010001
canguro,0001011010011
canico,0001011010010
cansada,0001011010110
cansado,0001011010111
cansancio,0001011010101
cansar,0001011010100
canta,0001011011100
cantaba,0001011011101
cantaban,0001011011111
cantando,0001011011110
cantante,0001011011010
cantar,0001011011011
cantaré,0001011011001
cantarín,0001011011000
cante,0001011001000
cantidad,0001011001001
canto,0001011001011
caníbal,0001011001010
capa,0001011001110
caparazón,0001011001111
capaz,0001011001101
caperucita,0001011001100
caperucito,0001011000100
capital,0001011000101
capitán,0001011000111
caprichoso,0001011000110
capturar,0001011000010
capturo,0001011000011
cara,0001011000001
carabás,0001011000000
caracol,0001001000000
caramelo,0001001000001
caravana,0001001000011
carcajada,0001001000010
carcajear,0001001000110
carecer,0001001000111
carecierar,0001001000101
carga,0001001000100
cargado,0001001001100
cargar,0001001001101
cargo,0001001001111
cariño,0001001001110
cariñosamente,0001001001010
carlos,0001001001011
carne,0001001001001
carniceer,0001001001000
carnicero,0001001011000
carnudo,0001001011001
carol,0001001011011
carpinterir,0001001011010
carpintero,0001001011110
carrera,0001001011111
carrero,0001001011101
carrete,0001001011100
carretera,0001001010100
carretero,0001001010101
carro,0001001010111
carta,0001001010110
cartel,0001001010010
cartón,0001001010011
carácter,0001001010001
casa,0001001010000
casado,0001001110000
casar,0001001110001
casaría,0001001110011
cascabel,0001001110010
cascarón,0001001110110
casi,0001001110111
casilla,0001001110101
casillas,0001001110100
casillo,0001001111100
casita,0001001111101
casito,0001001111111
caso,0001001111110
castigado,0001001111010
castigar,0001001111011
castigo,0001001111001
castigué,0001001111000
castillo,0001001101000
castor,0001001101001
casualidad,0001001101011
cataplás,0001001101010
cataplún,0001001101110
causa,0001001101111
causado,0001001101101
causar,0001001101100
cautivar,0001001100100
cavar,0001001100101
cavó,0001001100111
cayerar,0001001100110
cayo,0001001100010
caza,0001001100011
cazador,0001001100001
cazamalvado,0001001100000
cazar,0001000100000
caído,0001000100001
cañón,0001000100011
cebado,0001000100010
cebolla,0001000100110
ceja,0001000100111
celebración,0001000100101
celebrado,0001000100100
celebrar,0001000101100
celebrarer,0001000101101
celebrir,0001000101111
celebrándolo,0001000101110
celeste,0001000101010
celestial,0001000101011
celular,0001000101001
cementerio,0001000101000
cena,0001000111000
cenar,0001000111001
cenicienta,0001000111011
ceniciento,0001000111010
ceniza,0001000111110
centavo,0001000111111
centro,0001000111101
cepillar,0001000111100
cepillo,0001000110100
cera,0001000110101
cerca,0001000110111
cercanir,0001000110110
cercano,0001000110010
cerdita,0001000110011
cerdito,0001000110001
cerdo,0001000110000
cerebro,0001000010000
ceremonia,0001000010001
cero,0001000010011
cerrado,0001000010010
cerrar,0001000010110
cerrojo,0001000010111
certero,0001000010101
