lambda_gram,embedding
azul tocar marioneta varito mágico,00010010101011010000110101011010010000010100111101010110111111000
tocar marioneta varito mágico despertar,10100001101010110100100000101001111010101101111110000011001100101
marioneta varito mágico despertar pequeño,01101001000001010011110101011011111100000110011001010111110000110
varito mágico despertar pequeño marioneta,10100111101010110111111000001100110010101111100001100110100100000
mágico despertar pequeño marioneta hecho,01101111110000011001100101011111000011001101001000000101001111101
despertar pequeño marioneta hecho pino,00110011001010111110000110011010010000001010011111010111111100001
pequeño marioneta hecho pino despertar,01111100001100110100100000010100111110101111111000010011001100101
abrir cerrar ojo hado azul,00000001010100001111011100011101001001001010010110000001001010101
cerrar ojo hado azul dar,00011110111000111010010010010100101100000010010101010010110110100
ojo hado azul dar vida,01110100100100101001011000000100101010100101101101001010101000011
hado azul dar vida pinocho,01010010110000001001010101001011011010010101010000110111111100010
pinocho si valiente sincero desinteresado,01111111000101001011110001101001110010010011000100010011001011001
si valiente sincero desinteresado alguno,10010111100011010011100100100110001000100110010110010000011111001
valiente sincero desinteresado alguno día,10100111001001001100010001001100101100100000111110010011100110110
sincero desinteresado alguno día niño,10011000100010011001011001000001111100100111001101100111000111101
desinteresado alguno día niño verdad,00110010110010000011111001001110011011001110001111011010100100100
alguno día niño verdad decir,00000111110010011100110110011100011110110101001001000010111001010
día niño verdad decir hado,00111001101100111000111101101010010010000101110010100101001011000
niño verdad decir hado azul,01110001111011010100100100001011100101001010010110000001001010101
luego volver hacia grillo llamado,01100101011001010101110101010100101010001010000000000110001100110
volver hacia grillo llamado pepe,10101011101010101001010100010100000000001100011001100111101111111
hacia grillo llamado pepe grillo,01010010101000101000000000011000110011001111011111110101000000000
grillo llamado pepe grillo vivir,01010000000000110001100110011110111111101010000000001010101101000
llamado pepe grillo vivir alacena,01100011001100111101111111010100000000010101011010000000011011001
pepe grillo vivir alacena gepeto,01111011111110101000000000101010110100000000110110010100111001010
pepe grillo decir hada azul,01111011111110101000000000001011100101001010010101100001001010101
grillo decir hada azul deber,01010000000000010111001010010100101011000010010101010010110111101
decir hada azul deber ayudar,00101110010100101001010110000100101010100101101111010001001001010
hada azul deber ayudar pinocho,01010010101100001001010101001011011110100010010010100111111100010
conciencia guardián conocimiento bien mal,00100101001010101000100010001001100101000010101000000110011011011
día siguiente gepeto enviar orgullo,00111001101101001100000000010011100101001000000000000111010111101
siguiente gepeto enviar orgullo pequeño,10011000000000100111001010010000000000001110101111010111110000110
gepeto enviar orgullo pequeño niño,01001110010100100000000000011101011110101111100001100111000111101
enviar orgullo pequeño niño madera,01000000000000111010111101011111000011001110001111010110011000101
orgullo pequeño niño madera escuelar,01110101111010111110000110011100011110101100110001010100001000101
pequeño niño madera escuelar tanto,01111100001100111000111101011001100010101000010001011001110111100
niño madera escuelar tanto pobre,01110001111010110011000101010000100010110011101111001000000011001
madera escuelar tanto pobre vender,01100110001010100001000101100111011110010000000110011010100001101
escuelar tanto pobre vender abrigo,01000010001011001110111100100000001100110101000011010000000101001
tanto pobre vender abrigo comprar,10011101111001000000011001101010000110100000001010010010010010001
pobre vender abrigo comprar libro,10000000110011010100001101000000010100100100100100010110001010011
vender abrigo comprar libro escolar,10101000011010000000101001001001001000101100010100110100000101110
abrigo comprar libro escolar pinocho,00000001010010010010010001011000101001101000001011100111111100010
comprar libro escolar pinocho pepe,00100100100010110001010011010000010111001111111000100111101111111
libro escolar pinocho pepe grillo,01100010100110100000101110011111110001001111011111110101000000000
escolar pinocho pepe grillo mostrar,01000001011100111111100010011110111111101010000000000110111010011
pinocho pepe grillo mostrar camino,01111111000100111101111111010100000000001101110100110001101001100
pepe grillo mostrar camino decir,01111011111110101000000000011011101001100011010011000010111001010
grillo mostrar camino decir gepeto,01010000000000110111010011000110100110000101110010100100111001010
favor distraigas llegar escuelo tiempo,01001000101010011011101110011000111000101000010001101010000001101
érase vez hacer tiempo atrás,10101101100111010100111100010100100110010100000011010001000100100
vez hacer tiempo atrás rey,10101001111000101001001100101000000110100010001001001001000101010
hacer tiempo atrás rey reinar,01010010011001010000001101000100010010010010001010101000111000111
tiempo atrás rey reinar vivir,10100000011010001000100100100100010101010001110001111010101101000
atrás rey reinar vivir feliz,00010001001001001000101010100011100011110101011010000100100011111
rey reinar vivir feliz anhelar,10010001010101000111000111101010110100001001000111110000101000010
reinar vivir feliz anhelar ser,10001110001111010101101000010010001111100001010000101001011011110
vivir feliz anhelar ser padre,10101011010000100100011111000010100001010010110111100111011100110
después año esperar reina dar,00110011101000001001011011010000111001110001110001010010110110100
año esperar reina dar luz,00010010110110100001110011100011100010100101101101000110010110110
esperar reina dar luz niño,01000011100111000111000101001011011010001100101101100111000111101
niño agraciado reinar ser vanidós,01110001111010000010101111100011100011110010110111101010011101101
agraciado reinar ser vanidós superficial,00000101011111000111000111100101101111010100111011011001110000010
reinar ser vanidós superficial sentir,10001110001111001011011110101001110110110011100000101001011011000
ser vanidós superficial sentir decepcionado,10010110111101010011101101100111000001010010110110000010111000100
vanidós superficial sentir decepcionado apariencia,10100111011011001110000010100101101100000101110001000000101100000
superficial sentir decepcionado apariencia hijo,10011100000101001011011000001011100010000001011000000101010100111
embargo hado presente nacimiento otorgar,00111011000110101001011000100000111101101110000010100111011001101
hado presente nacimiento otorgar pequeño,01010010110001000001111011011100000101001110110011010111110000110
presente nacimiento otorgar pequeño regalo,10000011110110111000001010011101100110101111100001101000110110111
nacimiento otorgar pequeño regalo sabiduer,01110000010100111011001101011111000011010001101101111001001110111
otorgar pequeño regalo sabiduer además,01110110011010111110000110100011011011110010011101110000001111100
pequeño regalo sabiduer además dotar,01111100001101000110110111100100111011100000011111000011100010100
